Col,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
C1,0,0.110889,0.09,0.09,0.033489,0.080089,0.054289,0.080089,0.071289,0.054289,0.046656,0.04,0.04,0.027556,0.054289,0.027556,0.054289,0.07272225,0.061989,0.046213778,0.070756
C2,0.01,0,0.013456,0.027556,0.006889,0.006889,0.046656,0.033489,0.0225,0.027556,0.01,0.01,0.01,0.01,0.013456,0.01,0.0625,0.012753,0.02348075,0.019556889,0.054289
C3,0.099856,0.04,0.00444889,0.16,0.027556,0.054289,0.054289,0.017689,0.16,0.080089,0.16,0.09,0.099856,0.080089,0.027889,0.099856,0.0225,0.076076223,0.03845575,0.091142111,0.133956
C4,0.0025,0.033489,0.017689,0,0.0025,0.0025,0.0225,0.001089,0.01,0.04,0.09,0.099856,0.099856,0.070756,0.046656,0.070756,0.017689,0.0134195,0.00714725,0.060618778,0.04
C5,0.054289,0.04,0.01,0.0025,0,0.054289,0.054289,0.080089,0.01,0.017689,0.013456,0.00693889,0.0025,0.0025,0.0025,0.0025,0.0225,0.02669725,0.04716675,0.008953766,0.0625
C6,0.070756,0.099856,0.017689,0.1225,0.099856,0,0.070756,0.046656,0.027556,0.0225,0.0225,0.027556,0.027556,0.0225,0.013456,0.013456,0.027889,0.07770025,0.054317,0.022774333,0.110889
C7,0.110889,0.1225,0.173056,0.110889,0.0625,0.070756,0,0.017689,0.00693889,0.01,0.01,0.006889,0.013456,0.01,0.01,0.006889,0.017689,0.1293335,0.03773625,0.010206877,0.071289
C8,0.04,0.054289,0.099856,0.04,0.099856,0.09,0.110889,0,0.04,0.033489,0.04,0.006889,0.00444889,0.006889,0.01,0.006889,0.013456,0.05853625,0.07518625,0.018006766,0.099856
C9,0.187489,0.046656,0.0225,0.046656,0.033489,0.054289,0.033489,0.033489,0,0.017689,0.054289,0.070756,0.0625,0.0225,0.0225,0.04,0.04,0.07582525,0.038689,0.036692667,0.04
C10,0.027556,0.04,0.001089,0.046656,0.001089,0.000256,0.000256,0.000256,0.00444889,0,0.027556,0.0625,0.027556,0.017689,0.013456,0.046656,0.027556,0.02882525,0.00046425,0.025268654,0.0225
C11,0.099856,0.00444889,0.00444889,0.00693889,0.00110889,0.01,0.0025,0.00444889,0.01,0.013456,0,0.027556,0.046656,0.09,0.04,0.0225,0.01,0.028923168,0.004514445,0.028907556,0.04
C12,0.070756,0.00693889,0.0025,0.017689,0.001089,0.004356,0.00027556,0.00027556,0.0025,0.091809,0.027556,0,0.0225,0.25,0.006889,0.00693889,0.001089,0.024470973,0.00149903,0.045475766,0.03359889
C13,0.09,0.00027556,0.00110889,0.013456,0.001089,0.0025,0.001089,0.001089,0.000009,0.017689,0.027556,0.0256,0,0.0225,0.013456,0.04,0.001089,0.026210113,0.00144175,0.016433222,0.046656
C14,0.01,0.004356,0.001089,0.006889,0.00027556,0.00027556,0.001089,0.00027556,0.00027556,0.0225,0.017689,0.0225,0.017689,0,0.00693889,0.01,0.00444889,0.0055835,0.00047892,0.011337927,0.017689
C15,0.0025,0.00444889,0.00027556,0.017689,0.00110889,0.00027556,0.00027556,0.00027556,0.00027556,0.00693889,0.00693889,0.013456,0.017689,0.01,0,0.017689,0.013456,0.006228363,0.000483893,0.009604816,0.046656
C16,0.00693889,0.00027889,0.001089,0.01,0.00027556,0.001089,0.00027556,0.00027556,0.00027556,0.01,0.00693889,0.01,0.01,0.01,0.070756,0,0.04,0.004576695,0.00047892,0.017552272,0.04
C17,0.0025,0.00444889,0.0025,0.017689,0.0025,0.00444889,0.0025,0.00444889,0.0025,0.0225,0.017689,0.00693889,0.00693889,0.00693889,0.080089,0.04,0,0.006784473,0.003474445,0.020399408,0.080089
C18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
