Col,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,ML
C1,0.00,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.05,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05
C2,0.05,0.00,0.07,0.06,0.08,0.07,0.07,0.07,0.08,0.08,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.05
C3,0.02,0.02,0.00,0.06,0.07,0.08,0.08,0.07,0.08,0.08,0.01,0.01,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05
C4,0.02,0.02,0.02,0.00,0.06,0.07,0.03,0.04,0.04,0.04,0.01,0.01,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
C5,0.01,0.01,0.01,0.02,0.00,0.08,0.03,0.02,0.03,0.04,0.02,0.02,0.01,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.01,0.03,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.03
C6,0.01,0.01,0.02,0.02,0.02,0.00,0.04,0.03,0.01,0.02,0.01,0.01,0.03,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.03,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.03,0.03
C7,0.02,0.02,0.02,0.01,0.02,0.01,0.00,0.02,0.03,0.03,0.01,0.00,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03
C8,0.04,0.04,0.09,0.09,0.09,0.05,0.04,0.00,0.05,0.06,0.01,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03
C9,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.00,0.02,0.00,0.00,0.03,0.01,0.00,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03
C10,0.08,0.08,0.05,0.08,0.09,0.08,0.07,0.08,0.09,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.02
C11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.07,0.07,0.08,0.04,0.04,0.03,0.04,0.03,0.09,0.02,0.02,0.00,0.01,0.01,0.03,0.01,0.00,0.02,0.01,0.03,0.05
C12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.09,0.07,0.05,0.05,0.05,0.06,0.05,0.07,0.09,0.01,0.01,0.03,0.01,0.01,0.00,0.01,0.01,0.01,0.03,0.03,0.02
C13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02
C14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.02,0.00,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0.05,0.00,0.01,0.00,0.00,0.01,0.00,0.02,0.01,0.01,0.01,0.01,0.04
C15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.01,0.08,0.00,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.04
C16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.09,0.09,0.08,0.08,0.02,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
