Col,1st scenario,2nd scenario,3rd scenario,4th scenario,5th scenario,6th scenario
A1,1,0,0,0,0,1
A2,1,0,0,0,0,0.1
A3,1,0,0,0,0,1
A4,1,0,0,0,0,0.5
A5,0,1,0,0,0,0.15
A6,0,1,0,0,0,1
A7,0,1,0,0,0,1
A8,0,0,0,1,0,0.7
A9,0,1,0,0,0,0.6
A10,1,0,0,0,0,1
A11,0,0,0,1,0,1
A12,0,0,0,1,0,0.7
A13,0,0,1,0,0,0.5
A14,0,1,0,0,0,1
A15,1,0,0,0,0,1
A16,0,0,0,1,0,0.5
A17,0,0,0,0,1,1
A18,0,0,0,0,1,0.5
A19,1,0,0,0,0,0.1
A20,0,0,1,0,0,1
A21,0,0,1,0,0,0.3
A22,0,0,1,0,0,0.15
A23,0,0,1,0,0,0.5
A24,0,0,0,1,0,0.95
A25,0,0,0,0,1,0.15
A26,0,1,0,0,0,1
A27,0,1,0,0,0,0.8
A28,0,0,0,1,0,0.25
E1,0,0,0,0,0,0
E2,0,0,0,0,0,0
E3,0,0,0,0,0,0
E4,0,0,0,0,0,0
E5,0,0,0,0,0,0
E6,0,0,0,0,0,0
E7,0,0,0,0,0,0
E8,0,0,0,0,0,0
E9,0,0,0,0,0,0
E10,0,0,0,0,0,0
Time,0,0,0,0,0,0
Cost,0,0,0,0,0,0
Quality,0,0,0,0,0,0
